Occurred at,Severity,Event,Summary,Target,Status,Data Center,Floor,Room,Aisle,Row,Rack,Door
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:48 PM HKT,10.218.76.155 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B44,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:48 PM HKT,10.218.76.155 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B44,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:46 PM HKT,10.218.76.165 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B54,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:46 PM HKT,10.218.76.165 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B54,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:46 PM HKT,10.218.76.107 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A61,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:46 PM HKT,10.218.76.107 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A61,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:46 PM HKT,10.218.76.162 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B51,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:46 PM HKT,10.218.76.162 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B51,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:46 PM HKT,10.218.76.162 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B51,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:45 PM HKT,10.218.76.156 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B45,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:45 PM HKT,10.218.76.162 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B51,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:45 PM HKT,10.218.76.156 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B45,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:45 PM HKT,10.218.76.153 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B42,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:45 PM HKT,10.218.76.153 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B42,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:43 PM HKT,10.218.76.111 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A65,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:43 PM HKT,10.218.76.111 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A65,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:43 PM HKT,10.218.76.111 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A65,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:43 PM HKT,10.218.76.111 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A65,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:41 PM HKT,10.218.76.104 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A58,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:41 PM HKT,10.218.76.104 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A58,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:41 PM HKT,10.218.76.104 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A58,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:41 PM HKT,10.218.76.104 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A58,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:39 PM HKT,10.218.76.106 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A60,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:39 PM HKT,10.218.76.106 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A60,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:38 PM HKT,10.218.76.163 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B52,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:38 PM HKT,10.218.76.163 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B52,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:38 PM HKT,10.218.76.102 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A56,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:38 PM HKT,10.218.76.102 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A56,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:38 PM HKT,10.218.76.102 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A56,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:38 PM HKT,10.218.76.102 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A56,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:37 PM HKT,10.218.76.108 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A62,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:37 PM HKT,10.218.76.108 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A62,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:37 PM HKT,10.218.76.108 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A62,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:37 PM HKT,10.218.76.108 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A62,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:37 PM HKT,10.218.76.158 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B47,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:37 PM HKT,10.218.76.158 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B47,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:37 PM HKT,10.218.76.158 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B47,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:37 PM HKT,10.218.76.158 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B47,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:35 PM HKT,10.218.76.164 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B53,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:35 PM HKT,10.218.76.105 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A59,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:35 PM HKT,10.218.76.164 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B53,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:35 PM HKT,10.218.76.105 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A59,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:34 PM HKT,10.218.76.154 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B43,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:34 PM HKT,10.218.76.154 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B43,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:34 PM HKT,10.218.76.103 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A57,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:34 PM HKT,10.218.76.160 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B49,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:34 PM HKT,10.218.76.103 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A57,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:34 PM HKT,10.218.76.160 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B49,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:34 PM HKT,10.218.76.103 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A57,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:34 PM HKT,10.218.76.160 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B49,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:34 PM HKT,10.218.76.103 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A57,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:34 PM HKT,10.218.76.160 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B49,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:34 PM HKT,10.218.76.110 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A64,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:33 PM HKT,10.218.76.110 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A64,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:33 PM HKT,10.218.76.110 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A64,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:33 PM HKT,10.218.76.110 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A64,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:33 PM HKT,10.218.76.159 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B48,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:33 PM HKT,10.218.76.157 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B46,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:33 PM HKT,10.218.76.159 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B48,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:33 PM HKT,10.218.76.157 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B46,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:33 PM HKT,10.218.76.159 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B48,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:33 PM HKT,10.218.76.159 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B48,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:32 PM HKT,10.218.76.161 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B50,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:31 PM HKT,10.218.76.161 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B50,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:31 PM HKT,10.218.76.161 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B50,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:31 PM HKT,10.218.76.161 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 01,F,3B50,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:31 PM HKT,10.218.76.101 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A55,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:31 PM HKT,10.218.76.101 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A55,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:31 PM HKT,10.218.76.101 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A55,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:31 PM HKT,10.218.76.101 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A55,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:30 PM HKT,10.218.76.109 - 4,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A63,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:30 PM HKT,10.218.76.109 - 2,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A63,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:30 PM HKT,10.218.76.109 - 3,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A63,
2019-Jun-17 12:04,Critical,Ping failed,Loss of connectivity: ping failed at 06/17/19 12:04:30 PM HKT,10.218.76.109 - 1,Cleared by system event,WATCTR,FLOOR 1,IMC3,CONTAINMENT 04,K,3A63,
